n,V,T,x
1,2.4837,33.979,8.284799359551686
2,1.8672,37.229,5.619188058623491
3,2.7627,37.015,8.36801453884598
4,2.8438,39.385,8.03673873110075
5,2.1268,37.183,6.409305969924358
6,3.2955,34.713,10.72998404584378
7,3.2946,36.761,10.056469582735568
8,2.6812,33.982,8.942698952704957
9,2.8636,35.961,8.959669597321737
10,2.7873,35.904,8.736522066198596
11,2.6066,36.0,8.145624999999999
12,3.0629,35.364,9.765654890957787
13,2.4058,38.19,7.036560397777128
14,3.7916,32.252,13.420642786351406
15,2.6318,36.856,8.010104699293889
16,2.757,37.791,8.158977242461011
17,3.2334,37.462,9.66290120136274
18,2.7296,37.156,8.23259741826517
19,2.6522,36.081,8.26719865340856
20,2.2838,37.354,6.847154764046292
21,2.8472,37.138,8.591948820085701
22,2.0319,35.489,6.45272952459589
23,3.0572,35.245,9.784605536885902
24,3.5118,35.408,11.181227712684667
25,2.3541,33.05,8.103614457831325
26,3.129,35.532,9.923252568818977
27,3.327,36.237,10.320439246828178
28,1.9031,36.63,5.832362856267238
29,1.9795,38.887,5.674033307535758
30,2.9856,35.298,9.53926768483609
31,2.5001,37.246,7.520002406304518
32,3.045,37.598,9.063039466634919
33,3.1078,37.882,9.172421934950712
34,3.056,34.016,10.181236673773988
35,3.3451,36.424,10.31674068591167
36,3.0343,36.476,9.343207291538368
37,3.2954,33.984,10.990528281750265
38,2.0988,34.516,6.877703499803383
39,2.6901,38.165,7.87384750475633
40,2.6216,35.737,8.260390080978036
41,1.898,36.78,5.790115924344112
42,2.8287,36.176,8.791335156638487
43,2.1718,34.729,7.067590875069153
44,3.4076,34.881,11.034616754638774
45,2.2975,36.887,6.9860431173411985
46,2.9644,34.1,9.848504983388704
47,2.8097,37.562,8.3716703414576
48,2.239,37.138,6.756593638722916
49,1.6147,34.357,5.319036795467273
50,2.6704,35.469,8.485811433474211
