t,v,e13,T
0,0.48083,1.65483,32.43075471698111
1,0.50386,1.67786,32.865283018867906
2,0.48012,1.6541199999999998,32.417358490566016
3,0.51765,1.69165,33.12547169811319
4,0.47209,1.64609,32.265849056603756
5,0.48627,1.66027,32.53339622641508
6,0.49492,1.66892,32.69660377358488
7,0.52505,1.69905,33.26509433962262
8,0.49979,1.67379,32.788490566037716
9,0.5718,1.7458,34.14716981132074
10,0.54174,1.7157399999999998,33.57999999999998
11,0.51629,1.69029,33.0998113207547
12,0.56219,1.73619,33.96584905660376
13,0.55605,1.7300499999999999,33.84999999999998
14,0.54865,1.7226499999999998,33.71037735849055
15,0.52068,1.69468,33.18264150943394
16,0.53528,1.70928,33.45811320754715
17,0.5156,1.6896,33.08679245283017
18,0.59282,1.76682,34.543773584905644
19,0.52918,1.70318,33.34301886792451
20,0.57757,1.75157,34.25603773584904
21,0.54587,1.7198699999999998,33.65792452830186
22,0.56935,1.74335,34.1009433962264
23,0.53831,1.71231,33.515283018867905
24,0.51643,1.6904299999999999,33.10245283018866
25,0.50658,1.68058,32.91660377358489
26,0.53843,1.71243,33.5175471698113
27,0.51056,1.6845599999999998,32.991698113207526
28,0.56035,1.73435,33.93113207547168
29,0.5904,1.7644,34.49811320754715
30,0.55703,1.73103,33.86849056603772
31,0.52083,1.69483,33.18547169811319
32,0.53451,1.70851,33.44358490566036
33,0.56156,1.73556,33.953962264150924
34,0.45887,1.63287,32.01641509433961
35,0.46835,1.64235,32.195283018867904
36,0.47512,1.64912,32.32301886792451
37,0.52231,1.69631,33.21339622641508
38,0.48417,1.65817,32.49377358490564
39,0.49591,1.66991,32.71528301886791
40,0.52332,1.69732,33.23245283018866
41,0.52267,1.69667,33.22018867924526
42,0.57042,1.7444199999999999,34.12113207547168
43,0.52011,1.6941099999999998,33.17188679245281
44,0.53746,1.71146,33.49924528301885
45,0.49546,1.66946,32.70679245283017
46,0.59462,1.7686199999999999,34.57773584905659
47,0.52925,1.70325,33.34433962264149
48,0.53771,1.71171,33.50396226415093
49,0.52665,1.70065,33.295283018867906
50,0.56758,1.74158,34.067547169811306
51,0.48418,1.65818,32.49396226415092
52,0.52457,1.69857,33.256037735849034
53,0.51746,1.69146,33.12188679245281
54,0.56547,1.7394699999999998,34.02773584905658
55,0.56713,1.74113,34.05905660377357
56,0.48904,1.6630399999999999,32.585660377358465
57,0.51358,1.68758,33.048679245283004
58,0.49,1.664,32.60377358490564
59,0.49847,1.67247,32.76358490566036
60,0.55464,1.72864,33.82339622641508
61,0.42258,1.5965799999999999,31.331698113207523
62,0.52616,1.70016,33.286037735849035
63,0.50541,1.6794099999999998,32.89452830188677
64,0.49328,1.6672799999999999,32.66566037735847
65,0.47161,1.64561,32.25679245283017
66,0.57987,1.75387,34.29943396226413
67,0.55524,1.7292399999999999,33.834716981132054
68,0.54658,1.72058,33.671320754716966
69,0.57619,1.75019,34.22999999999998
70,0.58751,1.76151,34.44358490566036
71,0.53082,1.7048199999999998,33.37396226415092
72,0.50589,1.6798899999999999,32.90358490566036
73,0.5578,1.7317999999999998,33.883018867924505
74,0.51486,1.68886,33.07283018867923
75,0.56356,1.7375599999999998,33.991698113207526
76,0.47346,1.64746,32.29169811320753
77,0.54855,1.72255,33.70849056603772
78,0.51974,1.69374,33.16490566037734
79,0.50858,1.68258,32.95433962264149
80,0.55914,1.73314,33.90830188679244
81,0.45831,1.63231,32.00584905660375
82,0.5524,1.7264,33.78113207547168
83,0.52319,1.69719,33.22999999999998
84,0.51374,1.6877399999999998,33.05169811320752
85,0.53851,1.71251,33.51905660377356
86,0.54943,1.72343,33.72509433962263
87,0.53485,1.70885,33.44999999999998
88,0.61975,1.79375,35.05188679245281
89,0.48787,1.66187,32.563584905660356
90,0.55103,1.7250299999999998,33.75528301886791
